data1,data2,data3,label
-30.0,12.0,1022.0,leftright
-22.0,-23.0,1035.0,leftright
125.0,-43.0,983.0,leftright
256.0,-25.0,999.0,leftright
275.0,-26.0,999.0,leftright
306.0,-13.0,994.0,leftright
326.0,10.0,1004.0,leftright
325.0,16.0,1002.0,leftright
379.0,48.0,1008.0,leftright
340.0,26.0,1001.0,leftright
385.0,53.0,1002.0,leftright
173.0,-26.0,1010.0,leftright
373.0,-9.0,993.0,leftright
415.0,52.0,1019.0,leftright
424.0,29.0,1000.0,leftright
417.0,19.0,1008.0,leftright
415.0,1.0,978.0,leftright
409.0,-4.0,1037.0,leftright
429.0,0.0,991.0,leftright
432.0,-4.0,978.0,leftright
440.0,-2.0,1019.0,leftright
448.0,-16.0,983.0,leftright
423.0,-14.0,1026.0,leftright
361.0,0.0,993.0,leftright
284.0,-9.0,999.0,leftright
163.0,-17.0,1014.0,leftright
76.0,-35.0,983.0,leftright
-44.0,-27.0,1033.0,leftright
-144.0,-32.0,973.0,leftright
-157.0,-9.0,1000.0,leftright
-238.0,-15.0,991.0,leftright
-342.0,-38.0,1008.0,leftright
-426.0,-22.0,1023.0,leftright
-507.0,-50.0,1008.0,leftright
-563.0,-13.0,983.0,leftright
-628.0,-7.0,1029.0,leftright
-636.0,5.0,977.0,leftright
-680.0,26.0,1036.0,leftright
-692.0,17.0,996.0,leftright
-643.0,-14.0,993.0,leftright
-635.0,129.0,1005.0,leftright
-693.0,66.0,1008.0,leftright
-726.0,30.0,1018.0,leftright
-660.0,70.0,978.0,leftright
-630.0,66.0,1037.0,leftright
-572.0,25.0,1031.0,leftright
-534.0,0.0,946.0,leftright
-473.0,9.0,1000.0,leftright
-403.0,-32.0,996.0,leftright
-325.0,-34.0,1001.0,leftright
-227.0,-46.0,1000.0,leftright
-161.0,-46.0,996.0,leftright
-118.0,-47.0,1001.0,leftright
-60.0,-81.0,998.0,leftright
63.0,-99.0,1006.0,leftright
138.0,-96.0,987.0,leftright
236.0,-95.0,1014.0,leftright
292.0,-76.0,989.0,leftright
289.0,-97.0,1021.0,leftright
356.0,-83.0,984.0,leftright
422.0,-81.0,987.0,leftright
464.0,-69.0,1025.0,leftright
476.0,-65.0,1030.0,leftright
538.0,-53.0,948.0,leftright
499.0,-68.0,1018.0,leftright
476.0,-45.0,985.0,leftright
455.0,-29.0,999.0,leftright
384.0,-42.0,1003.0,leftright
376.0,-14.0,994.0,leftright
385.0,18.0,1012.0,leftright
353.0,66.0,996.0,leftright
164.0,20.0,1000.0,leftright
213.0,-96.0,1014.0,leftright
283.0,-16.0,1002.0,leftright
312.0,15.0,997.0,leftright
317.0,16.0,983.0,leftright
257.0,23.0,1010.0,leftright
251.0,37.0,1018.0,leftright
239.0,30.0,988.0,leftright
215.0,28.0,1008.0,leftright
190.0,37.0,974.0,leftright
176.0,29.0,1019.0,leftright
191.0,21.0,1008.0,leftright
177.0,4.0,1024.0,leftright
177.0,0.0,971.0,leftright
152.0,0.0,1019.0,leftright
117.0,5.0,988.0,leftright
90.0,-3.0,997.0,leftright
56.0,-6.0,1028.0,leftright
21.0,-8.0,998.0,leftright
-20.0,-9.0,983.0,leftright
-56.0,-6.0,1001.0,leftright
-88.0,1.0,1017.0,leftright
-171.0,-14.0,990.0,leftright
-216.0,-8.0,995.0,leftright
-231.0,-4.0,1020.0,leftright
-266.0,-10.0,1013.0,leftright
-289.0,-25.0,1032.0,leftright
-339.0,-16.0,972.0,leftright
-379.0,-9.0,992.0,leftright
-449.0,-20.0,1008.0,leftright
-485.0,-10.0,1007.0,leftright
-474.0,1.0,1004.0,leftright
-394.0,8.0,1001.0,leftright
-450.0,6.0,1008.0,leftright
-402.0,4.0,1016.0,leftright
-318.0,-69.0,1026.0,leftright
-310.0,25.0,1012.0,leftright
-221.0,46.0,970.0,leftright
-159.0,11.0,995.0,leftright
-52.0,-6.0,976.0,leftright
30.0,-37.0,1021.0,leftright
102.0,-32.0,990.0,leftright
175.0,-17.0,996.0,leftright
234.0,-1.0,1030.0,leftright
249.0,4.0,1001.0,leftright
321.0,31.0,1005.0,leftright
376.0,38.0,993.0,leftright
419.0,32.0,1025.0,leftright
434.0,27.0,1080.0,leftright
427.0,28.0,1025.0,leftright
431.0,7.0,999.0,leftright
432.0,5.0,917.0,leftright
427.0,2.0,892.0,leftright
406.0,-5.0,900.0,leftright
342.0,-28.0,910.0,leftright
177.0,18.0,1239.0,leftright
149.0,-26.0,1038.0,leftright
72.0,-68.0,994.0,leftright
18.0,-18.0,1003.0,leftright
-70.0,-5.0,1001.0,leftright
-130.0,-11.0,1018.0,leftright
-150.0,-2.0,991.0,leftright
-194.0,24.0,1006.0,leftright
-217.0,8.0,971.0,leftright
-292.0,-5.0,1000.0,leftright
-304.0,4.0,1013.0,leftright
-310.0,8.0,1000.0,leftright
-418.0,-11.0,1019.0,leftright
-454.0,3.0,1007.0,leftright
-449.0,-15.0,1003.0,leftright
-439.0,68.0,1004.0,leftright
-416.0,24.0,1021.0,leftright
-452.0,27.0,965.0,leftright
-549.0,-27.0,984.0,leftright
-386.0,18.0,1044.0,leftright
-311.0,37.0,992.0,leftright
-269.0,-11.0,988.0,leftright
-234.0,-38.0,1008.0,leftright
