data1,data2,data3,label
-59.0,990.0,108.0,idle
-53.0,999.0,107.0,idle
-51.0,1010.0,105.0,idle
-57.0,992.0,87.0,idle
-69.0,966.0,56.0,idle
-70.0,964.0,50.0,idle
-61.0,977.0,67.0,idle
-60.0,974.0,70.0,idle
-57.0,973.0,72.0,idle
-58.0,980.0,80.0,idle
-65.0,976.0,80.0,idle
-62.0,984.0,93.0,idle
-55.0,988.0,111.0,idle
-66.0,994.0,110.0,idle
-71.0,1005.0,106.0,idle
-75.0,1013.0,105.0,idle
-69.0,1016.0,118.0,idle
-44.0,997.0,141.0,idle
-26.0,977.0,147.0,idle
-26.0,976.0,139.0,idle
-29.0,982.0,120.0,idle
-37.0,978.0,97.0,idle
-47.0,983.0,77.0,idle
-57.0,984.0,55.0,idle
-68.0,972.0,25.0,idle
-68.0,975.0,17.0,idle
-58.0,1002.0,30.0,idle
-63.0,996.0,40.0,idle
-66.0,994.0,25.0,idle
-81.0,994.0,9.0,idle
-79.0,990.0,8.0,idle
-72.0,983.0,10.0,idle
-72.0,978.0,7.0,idle
-78.0,987.0,3.0,idle
-88.0,1002.0,0.0,idle
-93.0,1004.0,5.0,idle
-98.0,1009.0,-5.0,idle
-89.0,1012.0,14.0,idle
-84.0,1003.0,15.0,idle
-77.0,995.0,31.0,idle
-77.0,1000.0,23.0,idle
-89.0,1004.0,17.0,idle
-97.0,1013.0,16.0,idle
-96.0,1007.0,17.0,idle
-95.0,996.0,21.0,idle
-91.0,1003.0,24.0,idle
-97.0,1027.0,26.0,idle
-106.0,1038.0,24.0,idle
-101.0,1030.0,28.0,idle
-89.0,1018.0,42.0,idle
-82.0,1009.0,43.0,idle
-96.0,1004.0,24.0,idle
-109.0,1003.0,14.0,idle
-109.0,1009.0,17.0,idle
-109.0,1012.0,5.0,idle
-107.0,1000.0,15.0,idle
-94.0,991.0,20.0,idle
-82.0,984.0,39.0,idle
-85.0,986.0,35.0,idle
-95.0,1012.0,38.0,idle
-103.0,1034.0,30.0,idle
-110.0,1030.0,19.0,idle
-112.0,1016.0,14.0,idle
-111.0,1010.0,12.0,idle
-110.0,1011.0,10.0,idle
-107.0,1013.0,17.0,idle
-106.0,1021.0,19.0,idle
-101.0,1027.0,27.0,idle
-95.0,1028.0,38.0,idle
-88.0,1023.0,32.0,idle
-96.0,1022.0,16.0,idle
-109.0,1035.0,6.0,idle
-106.0,1046.0,6.0,idle
-92.0,1043.0,13.0,idle
-87.0,1031.0,25.0,idle
-76.0,1019.0,35.0,idle
-78.0,1002.0,26.0,idle
-86.0,989.0,11.0,idle
-92.0,969.0,-5.0,idle
-95.0,952.0,-9.0,idle
-83.0,944.0,5.0,idle
-73.0,948.0,20.0,idle
-72.0,959.0,29.0,idle
-69.0,978.0,42.0,idle
-67.0,995.0,46.0,idle
-75.0,994.0,28.0,idle
-85.0,988.0,22.0,idle
-81.0,978.0,26.0,idle
-73.0,973.0,27.0,idle
-69.0,970.0,29.0,idle
-67.0,964.0,26.0,idle
-67.0,956.0,26.0,idle
-68.0,957.0,22.0,idle
-66.0,960.0,26.0,idle
-68.0,970.0,25.0,idle
-70.0,977.0,27.0,idle
-74.0,996.0,36.0,idle
-83.0,1008.0,29.0,idle
-95.0,1019.0,20.0,idle
-94.0,1028.0,24.0,idle
-94.0,1016.0,28.0,idle
-92.0,1010.0,30.0,idle
-84.0,1009.0,38.0,idle
-84.0,1008.0,37.0,idle
-84.0,1012.0,37.0,idle
-85.0,1026.0,39.0,idle
-93.0,1035.0,30.0,idle
-100.0,1036.0,16.0,idle
-96.0,1044.0,19.0,idle
-90.0,1042.0,34.0,idle
-88.0,1035.0,38.0,idle
-85.0,1028.0,40.0,idle
-89.0,1027.0,33.0,idle
-93.0,1024.0,34.0,idle
-87.0,1023.0,41.0,idle
-76.0,1022.0,51.0,idle
-69.0,1023.0,55.0,idle
-73.0,1017.0,58.0,idle
-71.0,1024.0,53.0,idle
-78.0,1032.0,33.0,idle
-88.0,1033.0,22.0,idle
-88.0,1026.0,25.0,idle
-89.0,1023.0,32.0,idle
-78.0,1015.0,40.0,idle
-72.0,1008.0,42.0,idle
-74.0,1006.0,36.0,idle
-78.0,1005.0,39.0,idle
-75.0,1004.0,36.0,idle
-70.0,1001.0,37.0,idle
-64.0,1003.0,45.0,idle
-59.0,1001.0,56.0,idle
-57.0,999.0,56.0,idle
-58.0,1003.0,47.0,idle
-70.0,1008.0,30.0,idle
-77.0,1003.0,22.0,idle
-74.0,1001.0,18.0,idle
-74.0,997.0,23.0,idle
-69.0,990.0,27.0,idle
-62.0,982.0,33.0,idle
-56.0,979.0,35.0,idle
-61.0,981.0,20.0,idle
-70.0,978.0,10.0,idle
-81.0,985.0,-4.0,idle
-83.0,987.0,-2.0,idle
-76.0,991.0,2.0,idle
-77.0,996.0,10.0,idle
-77.0,995.0,13.0,idle
-75.0,998.0,24.0,idle
-78.0,1001.0,30.0,idle
-86.0,995.0,22.0,idle
-68.0,984.0,26.0,idle
-63.0,975.0,29.0,idle
-65.0,982.0,35.0,idle
-60.0,994.0,46.0,idle
-64.0,1001.0,27.0,idle
-90.0,1000.0,7.0,idle
-92.0,996.0,5.0,idle
-85.0,997.0,10.0,idle
-70.0,1002.0,34.0,idle
-59.0,1002.0,50.0,idle
-56.0,1004.0,45.0,idle
-73.0,990.0,24.0,idle
-83.0,981.0,4.0,idle
-83.0,975.0,0.0,idle
-74.0,976.0,13.0,idle
-63.0,977.0,29.0,idle
-56.0,993.0,44.0,idle
-57.0,996.0,42.0,idle
-67.0,989.0,29.0,idle
-67.0,981.0,25.0,idle
-70.0,983.0,24.0,idle
-74.0,990.0,17.0,idle
-81.0,991.0,7.0,idle
-87.0,990.0,11.0,idle
-84.0,991.0,27.0,idle
-77.0,993.0,41.0,idle
-76.0,998.0,52.0,idle
-75.0,1006.0,63.0,idle
-77.0,1008.0,68.0,idle
-82.0,1011.0,72.0,idle
-87.0,1018.0,69.0,idle
-91.0,1030.0,56.0,idle
-98.0,1035.0,44.0,idle
-101.0,1030.0,36.0,idle
-93.0,1022.0,39.0,idle
-90.0,1018.0,37.0,idle
-100.0,1009.0,20.0,idle
-105.0,1001.0,9.0,idle
-102.0,1001.0,18.0,idle
-95.0,1021.0,38.0,idle
-92.0,1040.0,51.0,idle
-85.0,1045.0,53.0,idle
-88.0,1027.0,57.0,idle
-87.0,1021.0,54.0,idle
-91.0,1022.0,54.0,idle
-95.0,1029.0,39.0,idle
-103.0,1020.0,23.0,idle
-101.0,1000.0,13.0,idle
-96.0,988.0,13.0,idle
-90.0,985.0,9.0,idle
-87.0,982.0,14.0,idle
-81.0,982.0,19.0,idle
-82.0,986.0,31.0,idle
-75.0,986.0,52.0,idle
-68.0,987.0,69.0,idle
-61.0,1001.0,88.0,idle
-61.0,1014.0,90.0,idle
-66.0,1014.0,68.0,idle
-73.0,1016.0,49.0,idle
-78.0,1002.0,45.0,idle
-74.0,992.0,50.0,idle
-64.0,991.0,64.0,idle
-57.0,989.0,70.0,idle
-61.0,992.0,71.0,idle
-60.0,991.0,77.0,idle
-57.0,996.0,75.0,idle
